ativo;grid_search;tam_treino;valor_real;valor_predito;diff;perc_acerto
AGRO3.SA.arff;Não;50;11.07;11.277688625963556;-0.20768862596355575;101.87613934926428
AGRO3.SA.arff;Sim;50;11.07;11.648374883544767;-0.5783748835447664;105.22470536174133
AGRO3.SA.arff;Não;100;11.07;11.360067933221353;-0.29006793322135316;102.62030653316488
AGRO3.SA.arff;Sim;100;11.07;11.545579770817737;-0.4755797708177365;104.29611355752246
AGRO3.SA.arff;Não;50;11.09;11.282052827506444;-0.19205282750644415;101.7317658025829
AGRO3.SA.arff;Sim;50;11.09;11.67243026114619;-0.5824302611461896;105.25185086696294
AGRO3.SA.arff;Não;100;11.09;11.305680870115483;-0.21568087011548265;101.94482299472932
AGRO3.SA.arff;Sim;100;11.09;11.525626882752217;-0.43562688275221717;103.92810534492531
AGRO3.SA.arff;Não;50;11.09;11.226132505686909;-0.13613250568690916;101.22752484839414
AGRO3.SA.arff;Sim;50;11.09;11.250755787630942;-0.16075578763094178;101.44955624554501
AGRO3.SA.arff;Não;100;11.09;11.223438375454693;-0.13343837545469306;101.2032315189783
AGRO3.SA.arff;Sim;100;11.09;11.245961034838967;-0.15596103483896684;101.40632132406644
AGRO3.SA.arff;Não;50;11.14;11.23937721273442;-0.09937721273441902;100.89207551826227
AGRO3.SA.arff;Sim;50;11.14;11.344172009064259;-0.20417200906425848;101.83278284617826
AGRO3.SA.arff;Não;100;11.14;11.288954315193658;-0.14895431519365765;101.33711234464683
AGRO3.SA.arff;Sim;100;11.14;11.317506629476716;-0.17750662947671536;101.59341678165812
AGRO3.SA.arff;Não;50;11.16;11.216593134861789;-0.05659313486178874;100.507106943206
AGRO3.SA.arff;Sim;50;11.16;11.517860469505635;-0.3578604695056349;103.2066350314125
AGRO3.SA.arff;Não;100;11.16;11.260813262911181;-0.10081326291118131;100.90334464974177
AGRO3.SA.arff;Sim;100;11.16;11.40459842569482;-0.2445984256948197;102.19174216572418
AGRO3.SA.arff;Não;50;11.16;11.284974523135425;-0.12497452313542468;101.11984339727083
AGRO3.SA.arff;Sim;50;11.16;11.470413925578264;-0.3104139255782634;102.7814867883357
AGRO3.SA.arff;Não;100;11.16;11.332151253622548;-0.17215125362254824;101.5425739571913
AGRO3.SA.arff;Sim;100;11.16;11.37808259928053;-0.21808259928052998;101.95414515484346
AGRO3.SA.arff;Não;50;11.14;11.270178144568224;-0.13017814456822308;101.16856503203073
AGRO3.SA.arff;Sim;50;11.14;11.454906778813728;-0.314906778813727;102.82681129994369
AGRO3.SA.arff;Não;100;11.14;11.328512118749046;-0.1885121187490455;101.69220932449771
AGRO3.SA.arff;Sim;100;11.14;11.358586292430408;-0.21858629243040717;101.96217497693362
AGRO3.SA.arff;Não;50;11.15;11.321407073319474;-0.17140707331947347;101.53728316878451
AGRO3.SA.arff;Sim;50;11.15;11.778983669793421;-0.6289836697934206;105.64110914612934
AGRO3.SA.arff;Não;100;11.15;11.335436295554551;-0.18543629555455077;101.6631057897269
AGRO3.SA.arff;Sim;100;11.15;11.536553561320261;-0.38655356132026064;103.46684808358978
AGRO3.SA.arff;Não;50;11.1;11.178927900162169;-0.078927900162169;100.71106216362314
AGRO3.SA.arff;Sim;50;11.1;11.259859965593975;-0.15985996559397542;101.440179870216
AGRO3.SA.arff;Não;100;11.1;11.178455707695644;-0.07845570769564425;100.70680817743823
AGRO3.SA.arff;Sim;100;11.1;11.218641339451032;-0.11864133945103283;101.06884089595525
AGRO3.SA.arff;Não;50;11.06;11.141745332993697;-0.08174533299369635;100.73910789325222
AGRO3.SA.arff;Sim;50;11.06;11.444574412897515;-0.38457441289751415;103.47716467357607
AGRO3.SA.arff;Não;100;11.06;11.220311788982531;-0.16031178898253096;101.44947367976971
AGRO3.SA.arff;Sim;100;11.06;11.306569538569615;-0.24656953856961472;102.22938099972527
